동사구	빈도	그룹ID	그룹명
따르다	14802	REF	준거참조
하다	9287	GENERIC	일반경량동사
관하다	8571	REF	준거참조
정하다	6957	DELE	위임고시
같다	3665	DEF	정의지칭
해당하다	3364	DEF	정의지칭
대하다	3326	REF	준거참조
말하다	2611	DEF	정의지칭
필요하다	2136	NEED	필요당위
위하다	2110	REF	준거참조
시행하다	1599	ENACT	시행공포
고시하다	1502	DELE	위임고시
개정하다	1448	ENACT	시행공포
포함하다	1318	INC	포함구성
위반하다	1310	VIOLATE	위반침해
의하다	1256	REF	준거참조
제외하다	1192	EXC	예외배제
적용하다	882	APPLY	적용운용
보다	829	DEEM	간주의제
발행하다	710	ISSUE	발행거래
준용하다	664	REF	준거참조
제출하다	643	SUBMIT	제출신청
초과하다	618	EXCEED	기준초과
공포하다	589	ENACT	시행공포
불구하다	560	EXC	예외배제
갖추다	539	MEET	요건충족
요구하다	507	DEMAND	요구명령
수행하다	477	MANAGE	관리수행
인정되다	456	DEEM	간주의제
발생하다	448	OCCUR	발생변동
취득하다	443	ACQUIRE	취득보유
경과하다	422	PERIOD	기간경과
확인하다	405	INSPECT	검사확인
관련하다	400	RELATE	소속관련
관련되다	397	RELATE	소속관련
한정하다	393	EXC	예외배제
삭제하다	393	REPEAL	폐지삭제
제공하다	364	PROVIDE	제공공급
인하다	356	REF	준거참조
운용하다	354	APPLY	적용운용
보고하다	351	REPORT	보고공시
소유하다	344	ACQUIRE	취득보유
건전하다	340	STATE_POS	긍정상태
인정하다	331	DEEM	간주의제
이용하다	319	USE	이용영위
영위하다	318	USE	이용영위
통지하다	315	REPORT	보고공시
통하다	311	REF	준거참조
보유하다	309	ACQUIRE	취득보유
규정하다	302	DELE	위임고시
준하다	302	REF	준거참조
설립되다	299	ESTABLISH	설립등록
고려하다	295	CONSIDER	고려참작
지급하다	281	PAY	지급납부
속하다	278	RELATE	소속관련
신청하다	275	SUBMIT	제출신청
충족하다	272	MEET	요건충족
통보하다	265	REPORT	보고공시
요청하다	252	DEMAND	요구명령
변경하다	249	CHANGE	변경수정
적다	249	GENERIC	일반경량동사
그러하다	248	DEF	정의지칭
알다	246	GENERIC	일반경량동사
기재하다	246	SUBMIT	제출신청
체결하다	242	CONTRACT	계약위탁
포함되다	240	INC	포함구성
행사하다	239	AUTHORITY	권한부여행사
적합하다	235	MEET	요건충족
처리하다	210	MANAGE	관리수행
정당하다	207	STATE_POS	긍정상태
위탁하다	201	CONTRACT	계약위탁
등록하다	200	ESTABLISH	설립등록
관리하다	196	MANAGE	관리수행
작성하다	195	SUBMIT	제출신청
사용하다	195	USE	이용영위
결정하다	194	DECIDE	결정확정
신고하다	192	REPORT	보고공시
해치다	188	VIOLATE	위반침해
투자하다	188	USE	이용영위
명하다	186	DEMAND	요구명령
이행하다	185	MANAGE	관리수행
상당하다	181	UNCLASSIFIED	미분류
첨부하다	180	SUBMIT	제출신청
신설하다	179	ENACT	시행공포
청구하다	177	SUBMIT	제출신청
미치다	174	OCCUR	발생변동
부과하다	171	SANCTION	부과제재
공시하다	170	REPORT	보고공시
두다	166	MANAGE	관리수행
알리다	166	REPORT	보고공시
증명하다	160	INSPECT	검사확인
거치다	157	MANAGE	관리수행
유지하다	157	MANAGE	관리수행
가지다	155	ACQUIRE	취득보유
방지하다	154	RESTRICT	제한금지
보호하다	152	PROTECT	보호지원
지정하다	150	SELECT	선정지정
지나다	148	PERIOD	기간경과
표시하다	148	REPORT	보고공시
산정하다	148	INSPECT	검사확인
준수하다	147	OBSERVE	준수이행
선임하다	146	APPOINT	선임임명
공정하다	141	STATE_POS	긍정상태
행하다	139	APPLY	적용운용
한하다	132	EXC	예외배제
중대하다	131	STATE_NEG	부정상태
판매하다	131	ISSUE	발행거래
동일하다	128	STATE_NEUTRAL	중립비교상태
표시되다	128	REPORT	보고공시
불가피하다	127	NEED	필요당위
특별하다	123	STATE_NEUTRAL	중립비교상태
중요하다	123	STATE_NEUTRAL	중립비교상태
처분하다	123	DISPOSE	처분양도
상장되다	123	ISSUE	발행거래
취소하다	120	CANCEL	취소종료
출자하다	119	DISPOSE	처분양도
공고하다	119	REPORT	보고공시
이루어지다	113	OCCUR	발생변동
부당하다	112	STATE_NEG	부정상태
응하다	110	DEMAND	요구명령
변경되다	110	CHANGE	변경수정
실시하다	109	APPLY	적용운용
개정되다	106	ENACT	시행공포
적절하다	106	STATE_POS	긍정상태
규정되다	103	DELE	위임고시
유사하다	103	STATE_NEUTRAL	중립비교상태
지배하다	103	RELATE	소속관련
매수하다	102	ACQUIRE	취득보유
가능하다	99	POSSIBLE	가능
도래하다	98	PERIOD	기간경과
설정하다	97	CONTRACT	계약위탁
부정하다	97	UNCLASSIFIED	미분류
크다	97	STATE_NEUTRAL	중립비교상태
발행되다	96	ISSUE	발행거래
해하다	96	UNCLASSIFIED	미분류
종사하다	94	USE	이용영위
인용하다	94	REF	준거참조
주다	92	GENERIC	일반경량동사
끝나다	92	PERIOD	기간경과
구분하다	92	INC	포함구성
연장하다	91	PERIOD	기간경과
모집하다	90	ISSUE	발행거래
운영하다	89	APPLY	적용운용
등록되다	89	ESTABLISH	설립등록
주되다	88	UNCLASSIFIED	미분류
경영하다	87	USE	이용영위
평가하다	83	INSPECT	검사확인
곤란하다	83	DIFFICULT	곤란
지다	83	GENERIC	일반경량동사
이전하다	82	DISPOSE	처분양도
납부하다	81	PAY	지급납부
취급하다	80	USE	이용영위
설치하다	79	ESTABLISH	설립등록
합병하다	79	UNCLASSIFIED	미분류
적정하다	78	STATE_POS	긍정상태
설립하다	78	ESTABLISH	설립등록
징수하다	77	PAY	지급납부
시정하다	77	SANCTION	부과제재
처하다	76	SANCTION	부과제재
양도하다	75	DISPOSE	처분양도
갈음하다	74	CANCEL	취소종료
담당하다	74	MANAGE	관리수행
기재되다	74	SUBMIT	제출신청
다르다	73	STATE_NEUTRAL	중립비교상태
교부하다	73	CONTRACT	계약위탁
계산하다	72	UNCLASSIFIED	미분류
대행하다	71	AUTHORITY	권한부여행사
송부하다	70	REPORT	보고공시
매매하다	70	ISSUE	발행거래
선임되다	70	APPOINT	선임임명
매도하다	70	DISPOSE	처분양도
밝히다	68	REPORT	보고공시
제한하다	67	RESTRICT	제한금지
취하다	67	UNCLASSIFIED	미분류
부담하다	67	PAY	지급납부
예탁하다	67	CONTRACT	계약위탁
거부하다	65	RESTRICT	제한금지
인수하다	65	ACQUIRE	취득보유
의결하다	64	DECIDE	결정확정
회피하다	63	RESTRICT	제한금지
소속되다	62	RELATE	소속관련
종료되다	62	CANCEL	취소종료
비추다	62	REF	준거참조
공포되다	61	ENACT	시행공포
검토하다	61	INSPECT	검사확인
배상하다	60	PAY	지급납부
충분하다	60	STATE_POS	긍정상태
출석하다	59	UNCLASSIFIED	미분류
누설하다	59	CONCEAL	은닉조작
접수하다	59	SUBMIT	제출신청
지원하다	59	PROTECT	보호지원
구성하다	58	INC	포함구성
확정되다	58	DECIDE	결정확정
제시하다	58	UNCLASSIFIED	미분류
계속하다	58	PERIOD	기간경과
보증하다	57	PAY	지급납부
협의하다	57	DECIDE	결정확정
마련하다	57	DELE	위임고시
동의하다	57	CONSENT	승인동의
확보하다	57	MEET	요건충족
결의하다	57	DECIDE	결정확정
대리하다	56	AUTHORITY	권한부여행사
비슷하다	55	STATE_NEUTRAL	중립비교상태
추천하다	55	APPOINT	선임임명
소집하다	55	CONVENE	소집개최
개설하다	54	ESTABLISH	설립등록
제출받다	53	SUBMIT	제출신청
남다	53	GENERIC	일반경량동사
미달하다	53	SHORTFALL	기준미달
일정하다	53	STATE_NEUTRAL	중립비교상태
중개하다	53	ISSUE	발행거래
등기하다	53	ESTABLISH	설립등록
판단하다	52	DEEM	간주의제
합산하다	52	INSPECT	검사확인
거래하다	52	ISSUE	발행거래
심사하다	51	INSPECT	검사확인
권고하다	51	DEMAND	요구명령
저해하다	51	VIOLATE	위반침해
권유하다	51	DEMAND	요구명령
설치되다	50	ESTABLISH	설립등록
제공되다	50	PROVIDE	제공공급
통보받다	49	REPORT	보고공시
공표하다	49	REPORT	보고공시
제정하다	48	DELE	위임고시
만료되다	48	PERIOD	기간경과
상장하다	48	ISSUE	발행거래
판단되다	47	DEEM	간주의제
시작하다	47	PERIOD	기간경과
취소되다	47	CANCEL	취소종료
붙이다	47	SUBMIT	제출신청
내다	47	GENERIC	일반경량동사
빼다	47	EXC	예외배제
적립하다	47	PAY	지급납부
배분하다	46	PAY	지급납부
지정되다	46	SELECT	선정지정
불리하다	46	STATE_NEG	부정상태
감독하다	45	INSPECT	검사확인
존속하다	45	ESTABLISH	설립등록
비치하다	45	RECORD	기록보관
접수되다	44	SUBMIT	제출신청
공개하다	44	REPORT	보고공시
준용되다	44	REF	준거참조
차입하다	44	PAY	지급납부
제출되다	43	SUBMIT	제출신청
폐지하다	43	REPEAL	폐지삭제
반환하다	43	PAY	지급납부
제공받다	43	PROVIDE	제공공급
명백하다	43	STATE_NEUTRAL	중립비교상태
해산하다	43	DISSOLVE	해산폐쇄
보관하다	42	RECORD	기록보관
산정되다	42	INSPECT	검사확인
산출하다	42	INSPECT	검사확인
지명하다	41	APPOINT	선임임명
특정하다	41	DEF	정의지칭
공개되다	41	REPORT	보고공시
수립하다	41	MANAGE	관리수행
매출하다	41	ISSUE	발행거래
높다	40	STATE_NEUTRAL	중립비교상태
제기하다	40	SUBMIT	제출신청
산입하다	40	INC	포함구성
면제하다	40	EXC	예외배제
조사하다	40	INSPECT	검사확인
퇴직하다	40	CANCEL	취소종료
집행하다	39	APPLY	적용운용
회수하다	39	PAY	지급납부
설정되다	39	CONTRACT	계약위탁
종료하다	39	CANCEL	취소종료
전환되다	39	OCCUR	발생변동
거래되다	39	ISSUE	발행거래
진행되다	38	OCCUR	발생변동
노력하다	38	NEED	필요당위
아니하다	38	UNCLASSIFIED	미분류
대항하다	38	CONTRACT	계약위탁
설명하다	37	REPORT	보고공시
현저하다	37	STATE_NEUTRAL	중립비교상태
해당되다	37	DEF	정의지칭
승계하다	37	CONTRACT	계약위탁
경미하다	36	STATE_NEUTRAL	중립비교상태
우선하다	36	REF	준거참조
게재하다	36	REPORT	보고공시
점검하다	36	INSPECT	검사확인
소멸하다	36	CANCEL	취소종료
게시하다	36	REPORT	보고공시
보전하다	36	PAY	지급납부
제한되다	35	RESTRICT	제한금지
타당하다	35	STATE_POS	긍정상태
해임하다	35	DISMISS	해임퇴임
위촉하다	34	APPOINT	선임임명
양수하다	34	ACQUIRE	취득보유
부여하다	34	AUTHORITY	권한부여행사
강요하다	34	DEMAND	요구명령
나다	33	OCCUR	발생변동
확인되다	33	INSPECT	검사확인
적용되다	33	APPLY	적용운용
반영하다	33	INSPECT	검사확인
전환하다	33	OCCUR	발생변동
근무하다	32	USE	이용영위
임용하다	32	APPOINT	선임임명
마치다	32	PERIOD	기간경과
선정하다	32	SELECT	선정지정
변제하다	32	PAY	지급납부
퇴임하다	32	DISMISS	해임퇴임
변동되다	32	OCCUR	발생변동
위반되다	32	VIOLATE	위반침해
위탁받다	32	CONTRACT	계약위탁
교환하다	32	ISSUE	발행거래
임명되다	31	APPOINT	선임임명
구성되다	31	INC	포함구성
소요되다	31	PERIOD	기간경과
해지하다	31	CANCEL	취소종료
밀접하다	31	STATE_NEUTRAL	중립비교상태
이첩하다	31	RECORD	기록보관
기록하다	31	RECORD	기록보관
편입하다	31	DISPOSE	처분양도
합하다	31	INSPECT	검사확인
활용하다	30	MANAGE	관리수행
방해하다	30	VIOLATE	위반침해
완료하다	30	PERIOD	기간경과
참여하다	30	USE	이용영위
서명하다	30	SUBMIT	제출신청
지급되다	30	PAY	지급납부
체결되다	30	CONTRACT	계약위탁
완화되다	30	DECREASE	감소완화
대표하다	29	AUTHORITY	권한부여행사
환매하다	29	ISSUE	발행거래
보장하다	29	PROTECT	보호지원
곱하다	29	INSPECT	검사확인
